START: śr. 15 lip 2026 14:50:36 CEST
00:00.259  blend            | Read blend: "/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/fur.blend"
09:20.973  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_3_d
09:20.973  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_4_u
09:20.973  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_5_s
09:20.973  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_6_z
09:20.974  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_7_e
09:20.974  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_6_z
09:20.974  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_8_w
09:20.975  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_9_s
09:20.975  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_10_k
09:20.975  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_11_y
09:20.976  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_7_e
09:20.976  render           | Fra: 4 | Mem: 0M | Synchronizing object | rim_r
09:20.976  render           | Fra: 4 | Mem: 0M | Synchronizing object | rim_l
09:20.976  render           | Fra: 4 | Mem: 0M | Synchronizing object | fill
09:20.976  render           | Fra: 4 | Mem: 0M | Synchronizing object | key
09:20.976  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_11_y
09:20.977  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_8_w
09:21.018  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_9_s
09:21.050  render           | Fra: 4 | Mem: 0M | Synchronizing object | L_10_k
09:21.117  render           | Fra: 4 | Mem: 0M | Initializing
09:21.118  render           | Fra: 4 | Mem: 0M | Waiting for render to start
09:21.118  render           | Fra: 4 | Mem: 0M | Updating Scene
09:21.118  render           | Fra: 4 | Mem: 0M | Updating Shaders
09:21.118  render           | Fra: 4 | Mem: 0M | Loading render kernels (may take a few minutes the first time)
09:21.118  render           | Fra: 4 | Mem: 1M | Updating Procedurals
09:21.118  render           | Fra: 4 | Mem: 1M | Updating Background
09:21.118  render           | Fra: 4 | Mem: 1M | Updating Camera
09:21.118  render           | Fra: 4 | Mem: 1M | Updating Meshes Flags
09:21.118  render           | Fra: 4 | Mem: 1M | Updating Objects
09:21.118  render           | Fra: 4 | Mem: 1M | Updating Objects | Copying Transformations to device
09:21.118  render           | Fra: 4 | Mem: 1M | Updating Particle Systems
09:21.118  render           | Fra: 4 | Mem: 1M | Updating Particle Systems | Copying Particles to device
09:21.118  render           | Fra: 4 | Mem: 1M | Updating Meshes
09:21.118  render           | Fra: 4 | Mem: 1M | Updating Objects | Applying Static Transformations
09:21.152  render           | Fra: 4 | Mem: 1M | Updating Mesh | Computing attributes
09:21.172  render           | Fra: 4 | Mem: 1M | Updating Mesh | Copying Attributes to device
09:21.233  render           | Fra: 4 | Mem: 105M | Updating Scene BVH | Building
09:21.233  render           | Fra: 4 | Mem: 105M | Updating Scene BVH | Building BVH
09:21.278  render           | Fra: 4 | Mem: 1198M | Updating Scene BVH | Building BVH 0%
