START: pt. 17 lip 2026 10:58:46 CEST
00:00.254  blend            | Read blend: "/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/fur.blend"
05:50.980  render           | Fra: 2 | Mem: 1627M | Updating Scene BVH | Building BVH 26%
05:51.230  render           | Fra: 2 | Mem: 1945M | Updating Scene BVH | Building BVH 44%
05:51.480  render           | Fra: 2 | Mem: 2267M | Updating Scene BVH | Building BVH 63%
05:51.730  render           | Fra: 2 | Mem: 2571M | Updating Scene BVH | Building BVH 80%
05:51.980  render           | Fra: 2 | Mem: 2841M | Updating Scene BVH | Building BVH 96%
05:52.062  render           | Fra: 2 | Mem: 2903M | Updating Scene BVH | Copying BVH to device
05:52.062  render           | Fra: 2 | Mem: 2903M | Updating Mesh | Computing normals
05:52.065  render           | Fra: 2 | Mem: 2903M | Updating Mesh | Copying Mesh to device
05:52.065  render           | Fra: 2 | Mem: 2906M | Updating Mesh | Copying Curves to device
05:52.139  render           | Fra: 2 | Mem: 3420M | Updating Objects Flags
05:52.139  render           | Fra: 2 | Mem: 3420M | Updating Primitive Offsets
05:52.139  render           | Fra: 2 | Mem: 3420M | Updating Images
05:52.139  render           | Fra: 2 | Mem: 3420M | Updating Volume
05:52.139  render           | Fra: 2 | Mem: 3420M | Updating Camera Volume
05:52.139  render           | Fra: 2 | Mem: 3420M | Updating Lookup Tables
05:52.139  render           | Fra: 2 | Mem: 3420M | Updating Lights
05:52.139  render           | Fra: 2 | Mem: 3420M | Updating Lights | Computing tree
05:52.139  render           | Fra: 2 | Mem: 3420M | Updating Integrator
05:52.140  render           | Fra: 2 | Mem: 3421M | Updating Film
05:52.140  render           | Fra: 2 | Mem: 3421M | Updating Lookup Tables
05:52.140  render           | Fra: 2 | Mem: 3421M | Updating Baking
05:52.140  render           | Fra: 2 | Mem: 3421M | Updating Device | Writing constant memory
05:52.140  render           | Fra: 2 | Mem: 3421M | Sample 0/256
05:53.878  render           | Fra: 2 | Remaining: 07:23.22 | Mem: 3457M | Sample 1/256
06:17.832  render           | Fra: 2 | Remaining: 06:01.20 | Mem: 3457M | Sample 17/256
06:42.079  render           | Fra: 2 | Remaining: 05:37.46 | Mem: 3457M | Sample 33/256
07:06.066  render           | Fra: 2 | Remaining: 05:12.29 | Mem: 3457M | Sample 49/256
07:30.119  render           | Fra: 2 | Remaining: 04:47.90 | Mem: 3457M | Sample 65/256
07:53.295  render           | Fra: 2 | Remaining: 04:26.54 | Mem: 3457M | Sample 80/256
08:17.628  render           | Fra: 2 | Remaining: 04:02.47 | Mem: 3457M | Sample 96/256
08:42.135  render           | Fra: 2 | Remaining: 03:38.56 | Mem: 3457M | Sample 112/256
09:06.523  render           | Fra: 2 | Remaining: 03:14.38 | Mem: 3457M | Sample 128/256
09:31.187  render           | Fra: 2 | Remaining: 02:50.36 | Mem: 3457M | Sample 144/256
09:55.709  render           | Fra: 2 | Remaining: 02:26.14 | Mem: 3457M | Sample 160/256
10:20.393  render           | Fra: 2 | Remaining: 02:01.93 | Mem: 3457M | Sample 176/256
10:45.338  render           | Fra: 2 | Remaining: 01:37.73 | Mem: 3457M | Sample 192/256
11:10.048  render           | Fra: 2 | Remaining: 01:13.36 | Mem: 3457M | Sample 208/256
11:34.808  render           | Fra: 2 | Remaining: 00:48.95 | Mem: 3457M | Sample 224/256
11:59.816  render           | Fra: 2 | Remaining: 00:24.51 | Mem: 3457M | Sample 240/256
12:24.835  render           | Fra: 2 | Mem: 3457M | Sample 256/256
12:24.835  render           | Fra: 2 | Mem: 3457M | Finished
12:24.929  render           | Saved: '/Users/kacpermioduszewski/mioduszewsky-com/assets/logo3d/frames_dal/f_0002.png'
12:24.929  render           | Time: 06:35.68 (Saving: 00:00.05)
12:24.929  render           | Rendering frame 3
12:24.931  render           | Start rendering: Scene, ViewLayer
12:24.931  render           | Engine: Cycles
12:25.922  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_0_m
12:25.922  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_1_i
12:25.923  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_2_o
12:25.923  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_1_i
12:25.923  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_3_d
12:25.923  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_2_o
12:25.923  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_3_d
12:25.923  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_4_u
12:25.924  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_5_s
12:25.924  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_6_z
12:25.925  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_7_e
12:25.925  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_8_w
12:25.926  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_9_s
12:25.926  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_8_w
12:25.927  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_10_k
12:25.928  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_11_y
12:25.932  render           | Fra: 3 | Mem: 0M | Synchronizing object | rim_r
12:25.932  render           | Fra: 3 | Mem: 0M | Synchronizing object | rim_l
12:25.932  render           | Fra: 3 | Mem: 0M | Synchronizing object | fill
12:25.932  render           | Fra: 3 | Mem: 0M | Synchronizing object | key
12:25.932  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_11_y
12:25.963  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_9_s
12:26.002  render           | Fra: 3 | Mem: 0M | Synchronizing object | L_10_k
12:26.069  render           | Fra: 3 | Mem: 0M | Initializing
12:26.070  render           | Fra: 3 | Mem: 0M | Waiting for render to start
